,Date,search_word,User,Tweets,Sarcastic,compound,Happy,Angry,Surprise,Sad,Fear,Sentiment
0,2021-10-11 05:28:47,@amazon,Dil8750,i said cuatomer support team said they are not sure and they do not have any contact…,not_sarcastic,0.1872,0.0,0.0,0.5,0.25,0.25,Positive
1,2021-10-11 05:28:40,@amazon,gaurav504851,they will report me again on 16th oct2021 why should i be awaited from 4th oct to 16th for the sellers fault th…,sarcastic,-0.4215,0.0,0.0,1.0,0.0,0.0,Negative
2,2021-10-11 05:28:10,@amazon,Heaven37102862,check out this amazon deal shoulder dolly moving straps  lifting strap for 2 movers  move lift carry and secu…,not_sarcastic,0.2204,0.0,0.0,1.0,0.0,0.0,Positive
3,2021-10-11 05:27:43,@amazon,sharma91_manoj,making customer fool with prime membership 90 items are not available under prime 1 day delivery it is t…,not_sarcastic,-0.4404,0.25,0.0,0.0,0.25,0.5,Negative
4,2021-10-11 05:27:14,@amazon,ETNOWlive,brandequity | strengthens its ott play in india rolls out channels with 8 partners in a…,not_sarcastic,0.6597,0.0,0.0,0.0,0.0,1.0,Positive
5,2021-10-11 05:26:36,@amazon,jitenderattri84,already 16 hours passed but still…,not_sarcastic,0.0,0.0,0.0,0.0,0.0,0.0,Neutral
6,2021-10-11 05:26:13,@amazon,ccpff0OnzRwJZkE,do you hope so,not_sarcastic,0.4404,0.0,0.0,0.0,0.0,1.0,Positive
7,2021-10-11 05:25:02,@amazon,saurabh321gupta,lately i have also received 34 products which seem to have been opened before by some one else,sarcastic,0.0,0.0,0.0,0.33,0.33,0.33,Neutral
8,2021-10-11 05:24:56,@amazon,MithuyaFashion,check out nifty womens denim stretchable slim fit jeans jean_pln_grey_30 by nifty via,not_sarcastic,0.7845,0.33,0.0,0.67,0.0,0.0,Positive
9,2021-10-11 05:24:10,@amazon,SatyamevJayatay,executives ask for mobile name email yet need address for verification they can not hear email address p…,not_sarcastic,0.0,0.0,0.0,0.0,0.0,1.0,Neutral
10,2021-10-11 05:24:09,@amazon,SatyamevJayatay,management seems gone mentally bankrupt executives arrogant hard of hearing do not know how to communicat…,not_sarcastic,-0.802,0.2,0.2,0.0,0.4,0.2,Negative
11,2021-10-11 05:23:10,@amazon,DanielHeasley3,karma is a bitch,not_sarcastic,-0.5859,0.0,0.0,0.0,0.0,0.0,Negative
12,2021-10-11 05:22:47,@amazon,Heaven37102862,just saw this on amazon hamilton beach 3in1 electric indoor grill  griddle 8serving reversible nonstick plat…,sarcastic,0.1779,0.0,0.0,1.0,0.0,0.0,Positive
13,2021-10-11 05:22:35,@amazon,Dil8750,amazon customer care do not have any information regarding this evwn they do not hav…,not_sarcastic,0.5994,0.5,0.0,0.0,0.5,0.0,Positive
14,2021-10-11 05:22:02,@amazon,MithuyaFashion,check out hopscotch boys cotton usa printed hoodie sweatshirt in navy color for ages 1112 years lre3753091 by h…,not_sarcastic,0.0,0.0,0.5,0.0,0.5,0.0,Neutral
15,2021-10-11 05:21:31,@amazon,hamzacelik21,time is behind you unfortunately some people still lives with old memories of 90s,not_sarcastic,-0.34,0.0,0.0,0.0,1.0,0.0,Negative
16,2021-10-11 05:19:49,@amazon,lisa_az,excited to support my friend jay casteletti on the release of his novel all the pretty boys available on…,not_sarcastic,0.9153,0.5,0.0,0.0,0.25,0.25,Positive
17,2021-10-11 05:19:28,@amazon,MithuyaFashion,check out hopscotch baby boys cotton star applique hoodies and jeans sets in red color for ages 912 months by hops…,not_sarcastic,0.0,0.0,0.5,0.0,0.25,0.25,Neutral
18,2021-10-11 05:19:12,@amazon,O_L_I_G_A_R_C_H,shib has a similar story developing as did people underestimate evolution and utility of shib…,not_sarcastic,-0.296,0.0,0.0,0.0,0.0,1.0,Negative
19,2021-10-11 05:19:06,@amazon,markmariner524,special education teacher teaching life skills to special needs students in a title 1 school nv in…,not_sarcastic,0.6597,0.0,0.0,0.4,0.2,0.4,Positive
